source_key,source_page,source_position,name,comment,created_at
gameslice:p18:c1,18,1,마늘,"한국인으로서 이건 포탈2에 대한 모든게 나와있음

이런게 많이 나왔으면 좋겠구만",2011-07-04 12:00:00
gameslice:p18:c2,18,2,PhAzOnMaDnEsS,"I really enjoyed reading this. After losing my sanity waiting for the release of Portal 2 (buying collectibles to sustain myself) I finally played and beat it. I thought it would be healthy to rewind and read this book to get some background on what I missed during Portal 2's development, and that was the best 1.33 I ever spent! (Next to Portal 2 and my Atlas T-shirt) Grand job VALVe!",2011-07-04 10:57:00
gameslice:p18:c3,18,3,Zetsumei,"amazing game, we're lucky they pushed through. had fun reading the development process.",2011-07-04 10:32:00
gameslice:p18:c4,18,4,Franzo,Gimme Half-Life 3 and i will be gratefull FOREVER,2011-07-04 10:23:00
gameslice:p18:c5,18,5,Paischu,Very good inside Look at the Valve Headquarters. GABENGABEN ;),2011-07-04 09:19:00
gameslice:p18:c6,18,6,Labiss,This book is very interesting and fantastic!,2011-07-04 07:57:00
gameslice:p18:c7,18,7,Fuzycomcuad,"When ever you guys have sales, I wake up the next day noticing that I now own more games and that I have lost money in my bank account, but I'll have no memory of buying the games. Thanks for everything guys, even the part where you take all of my money.",2011-07-04 06:58:00
gameslice:p18:c8,18,8,Voodooman,"Ending of Portal 2 was completely ruined and stupid, i mean this whole pre-rendered turret song sequence and sunny field.
1) prerendered cut-scenes NO GO! 30 fps, compression artifacts and 1280x720 resolution + different gamma looks bad and breaking immersion because of lack of interactivity - i wanted to move the camera at least. Only real-time cut-scenes is way to go.
2) Ending itself just a nonsence (as well as the beggining) - stupid singing turrets, chell in a middle of field many years after combine invasion, wihtout food and gun - im 99% she will be dead in a next few days. Anyway this whole video looked stupid and out of place, too much humor, nothing serious, nothing as good as portal 1 ending was. I really wish Valve to retcon this ending in DLC and remake it completely almost like this did with ending of Portal 1. 
Ending of Co-op have pretty same problems - people locked near test chambers of 1950 era makes no sence, especially when technology inside Vault dont look like 1950 era - what the heck Erick was thinking of? It seem from this book that story development was pretty troubled because Vavle do levels 1st, add story second, and here we have results. Portal 2 was good gameplay-wice, but it have a lot of plot mistakes, nonsence and too much humor that was out-of-place. Portal 1 was better than this and was more serious.",2011-07-04 06:57:00
gameslice:p18:c9,18,9,theWizardsBaker,"Good read. Portal 2 was pretty good, but it's not even in the same realm as the first. The story and dialogue seemed very un-polished. and it is made clear by the reading, it was very rushed. Hopefully, if there is a Portal 3, the writers can have the luxury of time and we can get something on the same level as the first.",2011-07-04 06:10:00
gameslice:p18:c10,18,10,Aradnom,This was both an incredibly interesting read as well as a very interesting format.  It would be fantastic to see more of these.  One thing you should add - needs to be an option to buy the game and this as a bundle.  Unless there was and I just  missed it.,2011-07-04 05:10:00
gameslice:p19:c1,19,1,ahmed,nice work good game :),2011-06-22 09:17:00
gameslice:p19:c2,19,2,Teh_Haxz0r,an intersting read on the behind scenes of the games devolpment with both portal games. its an surrprise on what was taken out early in the game and hope that some will resurface in latter dlc,2011-06-22 01:02:00
